n_cells,n_missing,missing_rate,frac_station,frac_sensor_ge1day,frac_block_2to5steps,frac_point_isolated,frac_non_point,run_len_p50,run_len_p90,run_len_p99,station_outage_time_frac,station_outage_run_p50_steps,station_outage_run_p90_steps,station_outage_run_p50_days,station_outage_run_p90_days,station_outage_cell_p50_days,station_outage_cell_p90_days,n_station_outage_runs,split
1300464,257314,0.1978632242030537,0.9693098704306801,0.019353785647108202,0.005712864438001819,0.005623479484209953,0.9943765205157901,17.0,148.0,148.0,0.19179077621525856,1.0,5.0,0.16666666666666666,0.8333333333333334,3.5,630.5,6263,all
647262,166560,0.2573301074371738,0.9618695965417867,0.026897214217098942,0.005607588856868396,0.005625600384245918,0.9943743996157541,43.0,148.0,148.0,0.247518006618649,2.0,5.0,0.3333333333333333,0.8333333333333334,2.8333333333333335,337.0,4112,train
218592,28491,0.130338713219148,0.9776771612088028,0.003053595872380752,0.00975746727036608,0.009511775648450387,0.9904882243515496,2.0,6.0,16.0,0.12742918313570487,1.0,6.0,0.16666666666666666,1.0,23.666666666666668,184.0,608,val
434610,62263,0.1432617749246451,0.9853845783209932,0.006633152915856929,0.004143712959542585,0.003838555803607279,0.9961614441963927,5.0,30.0,76.0,0.14116794367363844,1.0,4.0,0.16666666666666666,0.6666666666666666,3.6666666666666665,365.8333333333333,1547,test
