model,point,block_time,sensor,station,mixed
Mean,0.6867,0.6863,0.6861,0.6729,0.6830
LOCF,0.2058,0.2905,0.6957,0.6786,0.2990
Linear,0.1611,0.2538,0.6957,0.6786,0.2636
SAITS,0.4455,0.4509,0.4492,0.4436,0.4453
BRITS,0.4295,0.4417,0.4302,0.4345,0.4332
GRIN*,0.4593,0.4634,0.4593,0.4571,0.4565
MaskView-ST,0.2969,0.3261,0.4413,0.5386,0.3392
